skill_name,decision,bucket,score,license_status,lines,trust_tier,copy_recommendation,source_repo,source_commit,raw_url,recommended_install_target
frontend-design,INSTALL_NOW,frontend-design,92,UNKNOWN,41,OFFICIAL_ANTHROPIC,LINK_ONLY,anthropics/claude-code,831608a360511febd4b10c77d4d03b47afda2f5b,https://raw.githubusercontent.com/anthropics/claude-code/main/plugins/frontend-design/skills/frontend-design/SKILL.md,project-local
brand-guidelines,INSTALL_NOW,brand-guidelines,88,VERIFIED_COMPATIBLE,73,OFFICIAL_ANTHROPIC,COPY_ALLOWED,anthropics/skills,f458cee31a7577a47ba0c9a101976fa599385174,https://raw.githubusercontent.com/anthropics/skills/main/skills/brand-guidelines/SKILL.md,global-after-approval
canvas-design,INSTALL_NOW,frontend-design,85,VERIFIED_COMPATIBLE,129,OFFICIAL_ANTHROPIC,COPY_ALLOWED,anthropics/skills,f458cee31a7577a47ba0c9a101976fa599385174,https://raw.githubusercontent.com/anthropics/skills/main/skills/canvas-design/SKILL.md,project-local
design-taste-frontend,INSTALL_OPTIONAL,frontend-design,82,VERIFIED_COMPATIBLE,226,COMMUNITY_MIT,COPY_ALLOWED,Leonxlnx/taste-skill,c8075169cd63d1430bbf492dd4ddd478ea9fa4da,https://raw.githubusercontent.com/Leonxlnx/taste-skill/main/skills/taste-skill/SKILL.md,project-local
interface-design,INSTALL_OPTIONAL,frontend-design,79,VERIFIED_COMPATIBLE,391,COMMUNITY_MIT,COPY_ALLOWED,Dammyjay93/interface-design,8c407c1c42890010a9eb403a9f419b1eeadcfdad,https://raw.githubusercontent.com/Dammyjay93/interface-design/main/.claude/skills/interface-design/SKILL.md,project-local
design-motion-principles,INSTALL_OPTIONAL,motion-design,78,VERIFIED_COMPATIBLE,203,COMMUNITY_MIT,COPY_ALLOWED,kylezantos/design-motion-principles,74d1f62d8095c51c024bcd828cccda793b5f26e4,https://raw.githubusercontent.com/kylezantos/design-motion-principles/main/skills/design-motion-principles/SKILL.md,project-local
accessibility,INSTALL_OPTIONAL,accessibility-review,76,VERIFIED_COMPATIBLE,,COMMUNITY_MIT,COPY_ALLOWED,addyosmani/web-quality-skills,7b59d48aaf1f793935002f4998dfccc656f40839,https://raw.githubusercontent.com/addyosmani/web-quality-skills/main/skills/accessibility/SKILL.md,project-local
remotion-video-creation,INSTALL_OPTIONAL,remotion-video,74,VERIFIED_COMPATIBLE,43,COMMUNITY_MIT,COPY_ALLOWED,affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,https://raw.githubusercontent.com/affaan-m/everything-claude-code/main/skills/remotion-video-creation/SKILL.md,project-local
creative-direction,INSTALL_OPTIONAL,marketing-design,73,VERIFIED_COMPATIBLE,153,COMMUNITY_MIT,COPY_ALLOWED,rampstackco/claude-skills,f1aa1d724387f64d3c59bb0c84b9b68e39f11d66,https://raw.githubusercontent.com/rampstackco/claude-skills/main/skills/creative-direction/SKILL.md,project-local
design-system,INSTALL_OPTIONAL,design-system-architecture,72,VERIFIED_COMPATIBLE,,COMMUNITY_MIT,COPY_ALLOWED,rampstackco/claude-skills,f1aa1d724387f64d3c59bb0c84b9b68e39f11d66,https://raw.githubusercontent.com/rampstackco/claude-skills/main/skills/design-system/SKILL.md,project-local
skill-development,MANUAL_REVIEW,skill-development,65,UNKNOWN,637,OFFICIAL_ANTHROPIC,LINK_ONLY,anthropics/claude-code,831608a360511febd4b10c77d4d03b47afda2f5b,https://raw.githubusercontent.com/anthropics/claude-code/main/plugins/plugin-dev/skills/skill-development/SKILL.md,link-only
